# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-20.0,-0.114157066554,0.011709870977,0.022215625502,0.111281763621,0.210452767155,-0.006930208411
-20.0,-20.0,-15.0,-0.085009188658,0.008600061838,0.015008032537,0.087474550269,0.162823304142,-0.005446603916
-20.0,-20.0,-10.0,-0.05529933259,0.005602725253,0.008510582978,0.06046096349,0.110896697985,-0.003789583337
-20.0,-20.0,-5.0,-0.026110291697,0.002742570018,0.00327847024,0.030249235431,0.053626105295,-0.001937005376
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,5.0,0.010877759651,0.001679215028,0.001839520237,-0.029697380285,-0.046331984167,0.001952916059
-20.0,-20.0,10.0,0.018496667243,0.003653528873,0.00568251522,-0.059194467093,-0.090808472237,0.003835078387
-20.0,-20.0,15.0,0.021921922656,0.005995389614,0.010999047857,-0.085379573161,-0.128770598455,0.005437303535
-20.0,-20.0,20.0,0.022072740036,0.00845359203,0.017236019945,-0.10828960879,-0.160688387461,0.006849801134
-20.0,-15.0,-20.0,-0.102875998469,0.010293854627,0.027957990529,0.116463782624,0.184085086585,-0.009245224623
-20.0,-15.0,-15.0,-0.075626025199,0.007692576201,0.019525174674,0.091563273104,0.141906293976,-0.00728527547
-20.0,-15.0,-10.0,-0.048419303082,0.005058636655,0.011644203156,0.063300627143,0.096208555877,-0.005050649624
-20.0,-15.0,-5.0,-0.022406124086,0.00246129226,0.004858470608,0.031677170355,0.046580793332,-0.002547545083
-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-15.0,5.0,0.006473517139,0.00086897205,0.00040008281,-0.031264446572,-0.039062171528,0.002553432683
-20.0,-15.0,10.0,0.009231052597,0.001884424023,0.002762176851,-0.06236785803,-0.076127427761,0.005074766718
-20.0,-15.0,15.0,0.007897791612,0.003120613356,0.006722143184,-0.090035254489,-0.107316541042,0.007311115704
-20.0,-15.0,20.0,0.003484928344,0.004538670385,0.011733530386,-0.114294965827,-0.13339946313,0.009266774593
-20.0,-10.0,-20.0,-0.090023112608,0.009559315393,0.028675348672,0.120411169801,0.141430671016,-0.011327326069
-20.0,-10.0,-15.0,-0.065104061578,0.007278541945,0.020104590953,0.094682235487,0.108165915163,-0.008927306437
-20.0,-10.0,-10.0,-0.04083406046,0.004886590779,0.012061019362,0.065469214266,0.072588762643,-0.0061937427
-20.0,-10.0,-5.0,-0.018361624499,0.002406001857,0.005079531412,0.032768143483,0.035245883868,-0.003119261992
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,5.0,0.001859618883,-0.000216506617,0.000268501373,-0.032493483785,-0.027563272288,0.003137221705
-20.0,-10.0,10.0,-0.000387524715,-0.00032397778,0.002457831014,-0.064855468596,-0.053046551088,0.006236255491
-20.0,-10.0,15.0,-0.006568876983,-0.000207979365,0.006232707409,-0.093684223906,-0.07400811073,0.008996798501
-20.0,-10.0,20.0,-0.015480570697,9.5846661e-05,0.01105632402,-0.119001489541,-0.090526567258,0.011428071093
-20.0,-5.0,-20.0,-0.073804133071,0.00856539617,0.025426465089,0.122919821463,0.087646586555,-0.012799727367
-20.0,-5.0,-15.0,-0.052081235945,0.006631813527,0.017573571466,0.096672417865,0.065714375011,-0.010081272383
-20.0,-5.0,-10.0,-0.031599702169,0.004523849826,0.010331574723,0.066858151527,0.043251603117,-0.006989220314
-20.0,-5.0,-5.0,-0.013612712527,0.002250184043,0.004227433868,0.033468746466,0.020565292183,-0.003516377036
-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-5.0,5.0,-0.003261386316,-0.001159547133,0.001162431725,-0.03333159133,-0.012808142401,0.003527287649
-20.0,-5.0,10.0,-0.010895545222,-0.002263714322,0.004210157998,-0.066553653141,-0.02350276762,0.007018811251
-20.0,-5.0,15.0,-0.022104856469,-0.00314600472,0.008725366453,-0.096179402368,-0.030955123167,0.010134783271
-20.0,-5.0,20.0,-0.03566599787,-0.003819140605,0.014180164334,-0.122225441789,-0.035725350439,0.012880240789
-20.0,0.0,-20.0,-0.055463476705,0.006713955378,0.019764955762,0.123583764538,0.025887435112,-0.013354005067
-20.0,0.0,-15.0,-0.03754298835,0.005297869673,0.013132219742,0.097217236604,0.017417443147,-0.010510783325
-20.0,0.0,-10.0,-0.021472589611,0.003675785343,0.00726944735,0.067250661326,0.009897295597,-0.007281570962
-20.0,0.0,-5.0,-0.008502241731,0.001845642041,0.002700548694,0.033671739687,0.003888113572,-0.003660298462
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,5.0,-0.008502241731,-0.001845642041,0.002700548694,-0.033671739687,0.003888113572,0.003660298462
-20.0,0.0,10.0,-0.021472589611,-0.003675785343,0.00726944735,-0.067250661326,0.009897295597,0.007281570962
-20.0,0.0,15.0,-0.03754298835,-0.005297869673,0.013132219742,-0.097217236604,0.017417443147,0.010510783325
-20.0,0.0,20.0,-0.055463476705,-0.006713955378,0.019764955762,-0.123583764538,0.025887435112,0.013354005067
-20.0,5.0,-20.0,-0.03566599787,0.003819140605,0.014180164334,0.122225441789,-0.035725350439,-0.012880240789
-20.0,5.0,-15.0,-0.022104856469,0.00314600472,0.008725366453,0.096179402368,-0.030955123167,-0.010134783271
-20.0,5.0,-10.0,-0.010895545222,0.002263714322,0.004210157998,0.066553653141,-0.02350276762,-0.007018811251
-20.0,5.0,-5.0,-0.003261386316,0.001159547133,0.001162431725,0.03333159133,-0.012808142401,-0.003527287649
-20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,5.0,5.0,-0.013612712527,-0.002250184043,0.004227433868,-0.033468746466,0.020565292183,0.003516377036
-20.0,5.0,10.0,-0.031599702169,-0.004523849826,0.010331574723,-0.066858151527,0.043251603117,0.006989220314
-20.0,5.0,15.0,-0.052081235945,-0.006631813527,0.017573571466,-0.096672417865,0.065714375011,0.010081272383
-20.0,5.0,20.0,-0.073804133071,-0.00856539617,0.025426465089,-0.122919821463,0.087646586555,0.012799727367
-20.0,10.0,-20.0,-0.015480570697,-9.5846661e-05,0.01105632402,0.119001489541,-0.090526567258,-0.011428071093
-20.0,10.0,-15.0,-0.006568876983,0.000207979365,0.006232707409,0.093684223906,-0.07400811073,-0.008996798501
-20.0,10.0,-10.0,-0.000387524715,0.00032397778,0.002457831014,0.064855468596,-0.053046551088,-0.006236255491
-20.0,10.0,-5.0,0.001859618883,0.000216506617,0.000268501373,0.032493483785,-0.027563272288,-0.003137221705
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,5.0,-0.018361624499,-0.002406001857,0.005079531412,-0.032768143483,0.035245883868,0.003119261992
-20.0,10.0,10.0,-0.04083406046,-0.004886590779,0.012061019362,-0.065469214266,0.072588762643,0.0061937427
-20.0,10.0,15.0,-0.065104061578,-0.007278541945,0.020104590953,-0.094682235487,0.108165915163,0.008927306437
-20.0,10.0,20.0,-0.090023112608,-0.009559315393,0.028675348672,-0.120411169801,0.141430671016,0.011327326069
-20.0,15.0,-20.0,0.003484928344,-0.004538670385,0.011733530386,0.114294965827,-0.13339946313,-0.009266774593
-20.0,15.0,-15.0,0.007897791612,-0.003120613356,0.006722143184,0.090035254489,-0.107316541042,-0.007311115704
-20.0,15.0,-10.0,0.009231052597,-0.001884424023,0.002762176851,0.06236785803,-0.076127427761,-0.005074766718
-20.0,15.0,-5.0,0.006473517139,-0.00086897205,0.00040008281,0.031264446572,-0.039062171528,-0.002553432683
-20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,15.0,5.0,-0.022406124086,-0.00246129226,0.004858470608,-0.031677170355,0.046580793332,0.002547545083
-20.0,15.0,10.0,-0.048419303082,-0.005058636655,0.011644203156,-0.063300627143,0.096208555877,0.005050649624
-20.0,15.0,15.0,-0.075626025199,-0.007692576201,0.019525174674,-0.091563273104,0.141906293976,0.00728527547
-20.0,15.0,20.0,-0.102875998469,-0.010293854627,0.027957990529,-0.116463782624,0.184085086585,0.009245224623
-20.0,20.0,-20.0,0.022072740036,-0.00845359203,0.017236019945,0.10828960879,-0.160688387461,-0.006849801134
-20.0,20.0,-15.0,0.021921922656,-0.005995389614,0.010999047857,0.085379573161,-0.128770598455,-0.005437303535
-20.0,20.0,-10.0,0.018496667243,-0.003653528873,0.00568251522,0.059194467093,-0.090808472237,-0.003835078387
-20.0,20.0,-5.0,0.010877759651,-0.001679215028,0.001839520237,0.029697380285,-0.046331984167,-0.001952916059
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,5.0,-0.026110291697,-0.002742570018,0.00327847024,-0.030249235431,0.053626105295,0.001937005376
-20.0,20.0,10.0,-0.05529933259,-0.005602725253,0.008510582978,-0.06046096349,0.110896697985,0.003789583337
-20.0,20.0,15.0,-0.085009188658,-0.008600061838,0.015008032537,-0.087474550269,0.162823304142,0.005446603916
-20.0,20.0,20.0,-0.114157066554,-0.011709870977,0.022215625502,-0.111281763621,0.210452767155,0.006930208411
-16.666666666667,-20.0,-20.0,-0.093108766232,0.009984490379,0.024226389936,0.108257187722,0.225073347741,-0.00512710353
-16.666666666667,-20.0,-15.0,-0.068573080426,0.00721904141,0.016990485278,0.085103762373,0.174194356998,-0.004024636451
-16.666666666667,-20.0,-10.0,-0.044035412967,0.004566329901,0.010186031422,0.058826370709,0.11857726745,-0.002777009684
-16.666666666667,-20.0,-5.0,-0.020481529332,0.002173716216,0.004275608851,0.029433033635,0.057843222953,-0.001411911053
-16.666666666667,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,-20.0,5.0,0.005293748797,0.002294502642,5.0551735e-05,-0.028902853675,-0.050516986832,0.001461575046
-16.666666666667,-20.0,10.0,0.007426227676,0.004882535373,0.001778105453,-0.057605572775,-0.099204930061,0.002865728368
-16.666666666667,-20.0,15.0,0.00599782867,0.007679383833,0.004896444611,-0.08308087839,-0.141122276303,0.004093496466
-16.666666666667,-20.0,20.0,0.001927774088,0.010597488828,0.008941909745,-0.105365290454,-0.176426399184,0.005161746286
-16.666666666667,-15.0,-20.0,-0.087201737184,0.007344078576,0.029269801386,0.113759012559,0.197208607063,-0.006444989554
-16.666666666667,-15.0,-15.0,-0.063402024325,0.005370871798,0.020959358766,0.08944407246,0.152152740535,-0.005086623772
-16.666666666667,-15.0,-10.0,-0.040120000567,0.003471482247,0.012940678929,0.061840501551,0.102610561164,-0.003541876863
