# AeroScout
parameter,independent_variables,2
alpha[deg],rbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.018980455615,5.6883817e-05,-0.002768032569,6.4583698e-05,0.002239276895,0.000103287729,0.002308448525
-20.0,-0.012653637077,2.5294738e-05,-0.001845183372,2.8699371e-05,0.001492939735,4.5899578e-05,0.00153886734
-20.0,-0.006326818538,6.325715e-06,-0.000922541495,7.174172e-06,0.00074649641,1.1473984e-05,0.000769404743
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.006326818538,6.325715e-06,0.000922541495,7.174172e-06,-0.00074649641,1.1473984e-05,-0.000769404743
-20.0,0.012653637077,2.5294738e-05,0.001845183372,2.8699371e-05,-0.001492939735,4.5899578e-05,-0.00153886734
-20.0,0.018980455615,5.6883817e-05,0.002768032569,6.4583698e-05,-0.002239276895,0.000103287729,-0.002308448525
-16.666666666667,-0.018980455615,4.0474201e-05,-0.002854254905,3.7337378e-05,0.001741925463,6.9715314e-05,0.002293136799
-16.666666666667,-0.012653637077,1.8013011e-05,-0.001902324765,1.6603047e-05,0.001161352958,3.1006539e-05,0.001528515422
-16.666666666667,-0.006326818538,4.507151e-06,-0.000951002507,4.152157e-06,0.000580697284,7.755143e-06,0.000764182188
-16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,0.006326818538,4.507151e-06,0.000951002507,4.152157e-06,-0.000580697284,7.755143e-06,-0.000764182188
-16.666666666667,0.012653637077,1.8013011e-05,0.001902324765,1.6603047e-05,-0.001161352958,3.1006539e-05,-0.001528515422
-16.666666666667,0.018980455615,4.0474201e-05,0.002854254905,3.7337378e-05,-0.001741925463,6.9715314e-05,-0.002293136799
-13.333333333333,-0.018980455615,4.3717494e-05,-0.002938587242,3.7673958e-05,0.001187151379,9.0038271e-05,0.002289541904
-13.333333333333,-0.012653637077,1.7585216e-05,-0.00196092244,9.618813e-06,0.000791514116,2.2667834e-05,0.001527162724
-13.333333333333,-0.006326818538,2.954006e-06,-0.00098562968,-4.518598e-06,0.000395781379,-1.1287127e-05,0.000765851598
-13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
