# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-25.0,-0.01465289261,-0.057669103504,0.003399289816,-0.003582182519,0.013534141069,0.026894881209
-20.0,-20.0,-18.75,-0.010261574215,-0.046486313605,0.002558323484,-0.002893299227,0.009938144133,0.021585971856
-20.0,-20.0,-12.5,-0.006139606579,-0.033255583474,0.001691640129,-0.002072425438,0.006185636448,0.015385575978
-20.0,-20.0,-6.25,-0.002490995375,-0.017092648055,0.000801317656,-0.001067162226,0.002687249672,0.007902345544
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,6.25,-0.000139697283,0.017659164131,-0.00021735311,0.001109665819,0.001704298657,-0.008171875846
-20.0,-20.0,12.5,-0.00172400596,0.034994016704,-0.000293527543,0.002210544183,0.00306751465,-0.016227222899
-20.0,-20.0,18.75,-0.004164747418,0.04983446892,-0.000219115203,0.003155785402,0.005129921042,-0.023217696757
-20.0,-20.0,25.0,-0.007131505577,0.062896565711,-4.497706e-05,0.003985014878,0.007624225836,-0.029454260337
-20.0,-15.0,-25.0,-0.013705611498,-0.056891564435,0.003123317824,-0.003403251915,0.012980868152,0.026547476116
-20.0,-15.0,-18.75,-0.009499248897,-0.045754559954,0.00237158451,-0.002742654872,0.009291128806,0.021253458432
-20.0,-15.0,-12.5,-0.005550806435,-0.032617254946,0.001586315778,-0.001959564628,0.005939262614,0.015092492946
-20.0,-15.0,-6.25,-0.00217576146,-0.016691553851,0.000763854839,-0.00100613971,0.002599669871,0.00771688371
-20.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-15.0,6.25,-0.000640214759,0.017131102942,-0.000216081867,0.001037106132,0.000104936477,-0.007924277359
-20.0,-15.0,12.5,-0.002435645202,0.033966429151,-0.000334350506,0.002059640006,0.002235878214,-0.015738942754
-20.0,-15.0,18.75,-0.005169493915,0.048304474971,-0.000326795639,0.002932491587,0.004026428606,-0.022484256687
-20.0,-15.0,25.0,-0.00838863839,0.060656897028,-0.000229757019,0.003694331113,0.006239198552,-0.028381793991
-20.0,-10.0,-25.0,-0.013039730801,-0.056707210622,0.002594337583,-0.003280828681,0.011710277016,0.026467941472
-20.0,-10.0,-18.75,-0.008922336981,-0.045506662845,0.001980714868,-0.002637671189,0.008372645797,0.021140030578
-20.0,-10.0,-12.5,-0.005135661431,-0.032362325561,0.001336023316,-0.001879457512,0.005127108169,0.014973053351
-20.0,-10.0,-6.25,-0.001932357131,-0.016532543523,0.000653201831,-0.000962035081,0.002325424735,0.007640880001
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,6.25,-0.000921114964,0.016821209739,-0.000138200285,0.000982147414,0.00028704081,-0.00777656368
-20.0,-10.0,12.5,-0.003065894083,0.033252081104,-0.000216193542,0.001944154155,0.002043791656,-0.015397177199
-20.0,-10.0,18.75,-0.0060695791,0.047138915317,-0.000201944249,0.002760203662,0.003765906191,-0.021925292501
-20.0,-10.0,25.0,-0.00953434833,0.05920712027,-0.000125649249,0.003468565216,0.005831599497,-0.027677150973
-20.0,-5.0,-25.0,-0.012518703292,-0.056991985344,0.00185321447,-0.003220547269,0.01004776967,0.026605081354
-20.0,-5.0,-18.75,-0.008448947794,-0.045636401166,0.001411472268,-0.002582746249,0.007151717574,0.021201479596
-20.0,-5.0,-12.5,-0.004751544034,-0.032376177834,0.000952004422,-0.001835131592,0.004388168889,0.014978461373
-20.0,-5.0,-6.25,-0.001726202434,-0.01649288942,0.000469582675,-0.000936334558,0.001882870955,0.007621043977
-20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-5.0,6.25,-0.001138483264,0.016631108697,2.1474867e-05,0.000946199109,0.000917462625,-0.007685961794
-20.0,-5.0,12.5,-0.003633769862,0.03281486575,7.2055537e-05,0.001866762255,0.002285093476,-0.015186888668
-20.0,-5.0,18.75,-0.006898809592,0.046462814163,0.00017148344,0.002642588185,0.004110792298,-0.021596713486
-20.0,-5.0,25.0,-0.010549663626,0.058243110217,0.000305797218,0.003312184456,0.006717779518,-0.027206979328
-20.0,0.0,-25.0,-0.011753669053,-0.057616229034,0.001024243255,-0.003229342667,0.007828849294,0.026900546617
-20.0,0.0,-18.75,-0.007800744617,-0.046043834294,0.000756469337,-0.002583183277,0.00538954639,0.021392665863
-20.0,0.0,-12.5,-0.00426397138,-0.032591453517,0.000494628883,-0.001830147555,0.003151116502,0.015078145492
-20.0,0.0,-6.25,-0.001462000206,-0.016560179522,0.000241076766,-0.000930732212,0.001261303762,0.007651324367
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
